Rank,Title,Year,Runtime,Rating,Votes,Revenue,Metascore
494,Savages,2012,131,6.5,107960,47.31,59
493,(500) Days of Summer,2009,95,7.7,398972,32.39,76
492,Movie 43,2013,94,4.3,83625,8.83,18
491,Gravity,2013,91,7.8,622089,274.08,96
490,The Boy in the Striped Pyjamas,2008,94,7.8,144614,9.03,55
489,Shooter,2007,124,7.2,267820,46.98,53
488,The Happening,2008,91,5,170897,64.51,34
487,Bone Tomahawk,2015,132,7.1,47289,66.01,72
486,Magic Mike XXL,2015,115,5.7,42506,,60
485,Easy A,2010,92,7.1,294950,58.4,72
484,Exodus: Gods and Kings,2014,150,6,137299,65.01,52
483,Chappie,2015,120,6.9,188769,31.57,41
482,The Hobbit: The Desolation of Smaug,2013,161,7.9,513744,258.36,66
481,Half of a Yellow Sun,2013,111,6.2,1356,0.05,51
480,Anthropoid,2016,120,7.2,24100,2.96,59
479,The Counselor,2013,117,5.3,84927,16.97,48
478,Viking,2016,133,4.7,1830,23.05,57
477,Whiskey Tango Foxtrot,2016,112,6.6,36156,,
476,Trust,2010,106,7,36043,0.06,60
475,Birth of the Dragon,2016,103,3.9,552,93.05,61
474,Elysium,2013,109,6.6,358932,,
473,The Green Inferno,2013,100,5.4,26461,7.19,38
472,Godzilla,2014,123,6.4,318058,200.66,62
471,The Bourne Legacy,2012,135,6.7,245374,113.17,61
470,A Good Year,2006,117,6.9,74674,7.46,47
469,Friend Request,2016,92,5.4,12758,64.03,59
468,Deja Vu,2006,126,7,253858,,
467,Lucy,2014,89,6.4,352698,126.55,61
466,A Quiet Passion,2016,125,7.2,1024,1.08,77
465,Need for Speed,2014,132,6.5,143389,43.57,39
464,Jack Reacher,2012,130,7,250811,58.68,50
463,The Do-Over,2016,108,5.7,24761,0.54,22
462,True Crimes,2016,92,7.3,198,,43
461,American Pastoral,2016,108,6.1,7115,,
460,The Ghost Writer,2010,128,7.2,137964,15.52,77
459,Limitless,2011,105,7.4,444417,79.24,59
458,Spectral,2016,107,6.3,27042,,39
457,P.S. I Love You,2007,126,7.1,177247,53.68,
456,Zipper,2015,103,5.7,4912,,39
455,Midnight Special,2016,112,6.7,54787,3.71,76
454,Don't Think Twice,2016,92,6.8,10485,4.42,83
453,Alice in Wonderland,2010,108,6.5,324898,334.19,53
452,Chuck,2016,98,6.8,391,0.11,68
451,"I, Daniel Blake",2016,100,7.9,22941,,77
450,The Break-Up,2006,106,5.8,106381,118.68,45
449,Loving,2016,123,7.1,17141,7.7,79
448,Fantastic Four,2015,100,4.3,121847,56.11,27
447,The Survivalist,2015,104,6.3,9187,,80
446,Colonia,2015,106,7.1,30074,,33
445,The Boy Next Door,2015,91,4.6,30180,35.39,30
444,The Gift,2015,108,7.1,96688,43.77,77
443,Dracula Untold,2014,92,6.3,148504,55.94,40
442,In the Heart of the Sea,2015,122,6.9,90372,24.99,47
441,Idiocracy,2006,84,6.6,115355,0.44,66
440,The Expendables,2010,103,6.5,283282,102.98,45
439,Evil Dead,2013,91,6.5,133113,54.24,57
438,Sinister,2012,110,6.8,171169,48.06,53
437,Wreck-It Ralph,2012,101,7.8,290559,189.41,72
436,Snow White and the Huntsman,2012,127,6.1,239772,155.11,57
435,Pan,2015,111,5.8,47804,34.96,36
434,Transformers: Dark of the Moon,2011,154,6.3,338369,352.36,42
433,Juno,2007,96,7.5,432461,143.49,81
432,A Hologram for the King,2016,98,6.1,26521,4.2,58
431,Money Monster,2016,98,6.5,68654,41.01,55
430,The Other Woman,2014,109,6,110825,83.91,39
429,Enchanted,2007,107,7.1,150353,127.71,75
428,The Intern,2015,121,7.1,159582,75.27,51
427,Little Miss Sunshine,2006,101,7.8,374044,59.89,80
426,Bleed for This,2016,117,6.8,11900,4.85,62
425,Clash of the Titans,2010,106,5.8,238206,163.19,39
424,The Finest Hours,2016,117,6.8,44425,27.55,58
423,Tron,2010,125,6.8,273959,172.05,49
422,The Hunger Games: Catching Fire,2013,146,7.6,525646,424.65,76
421,All Good Things,2010,101,6.3,44158,0.58,57
420,Kickboxer: Vengeance,2016,90,4.9,6809,131.56,37
419,The Last Airbender,2010,103,4.2,125129,,20
418,Sex Tape,2014,94,5.1,89885,38.54,36
417,What to Expect When You're Expecting,2012,110,5.7,60059,41.1,41
416,Moneyball,2011,133,7.6,297395,75.61,87
415,Ghost Rider,2007,114,5.2,190673,115.8,35
414,Unbroken,2014,137,7.2,114006,115.6,59
413,Immortals,2011,110,6,142900,83.5,46
412,Sunshine,2007,107,7.3,199860,3.68,64
411,Brave,2012,93,7.2,293941,237.28,69
410,Män som hatar kvinnor,2009,152,7.8,182074,10.1,76
409,Adoration,2013,112,6.2,25208,0.32,37
408,The Drop,2014,106,7.1,116118,10.72,69
407,She's the Man,2006,105,6.4,122864,2.34,45
406,Daddy's Home,2015,96,6.1,68306,150.32,42
405,Let Me In,2010,116,7.2,97141,12.13,79
404,Never Back Down,2008,110,6.6,84083,24.85,39
403,Grimsby,2016,83,6.2,63408,6.86,44
402,Moon,2009,97,7.9,277123,5.01,67
401,Megamind,2010,95,7.3,183926,148.34,63
400,Gangster Squad,2013,113,6.7,181432,46,40
399,Blood Father,2016,88,6.4,40357,93.95,66
398,He's Just Not That Into You,2009,129,6.4,137684,,47
397,Kung Fu Panda 3,2016,95,7.2,89791,143.52,66
396,The Rise of the Krays,2015,110,5.1,1630,6.53,90
395,Handsome Devil,2016,95,7.4,338,,
394,Winter's Bone,2010,100,7.2,116435,,
393,Horrible Bosses,2011,98,6.9,368556,117.53,57
392,Mommy,2014,139,8.1,33560,3.49,74
391,Hellboy II: The Golden Army,2008,120,7,216932,75.75,78
390,Beautiful Creatures,2013,124,6.2,71822,19.45,52
389,Toni Erdmann,2016,162,7.6,24387,1.48,93
388,The Lovely Bones,2009,135,6.7,130702,43.98,42
387,The Assassination of Jesse James by the Coward Robert Ford,2007,160,7.5,143564,3.9,68
386,Don Jon,2013,90,6.6,199973,24.48,66
385,Bastille Day,2016,92,6.3,21089,0.04,48
384,2307: Winter's Dream,2016,101,4,277,20.76,53
383,Free State of Jones,2016,139,6.9,29895,,
382,Mr. Right,2015,95,6.3,30053,0.03,52
381,The Secret Life of Walter Mitty,2013,114,7.3,249877,58.23,54
380,Dope,2015,103,7.3,66400,17.47,72
379,Underworld Awakening,2012,88,6.4,127157,62.32,39
378,Antichrist,2009,108,6.6,94069,0.4,49
377,Friday the 13th,2009,97,5.6,78631,65,34
376,Taken 3,2014,109,6,144715,89.25,26
375,Total Recall,2012,118,6.3,210965,58.88,43
374,X-Men: The Last Stand,2006,104,6.7,406540,234.36,58
373,The Escort,2016,88,6,7181,,46
372,The Whole Truth,2016,93,6.1,10700,,
371,Night at the Museum: Secret of the Tomb,2014,98,6.2,74886,113.73,47
370,Love & Other Drugs,2010,112,6.7,151519,32.36,55
369,The Interview,2014,112,6.6,261536,6.11,52
368,The Host,2006,120,7,73491,2.2,85
367,Megan Is Missing,2011,85,4.9,6683,,94
366,WALL·E,2008,98,8.4,776897,223.81,
365,Knocked Up,2007,129,7,309398,148.73,85
364,Source Code,2011,93,7.5,404884,54.7,74
363,Lawless,2012,116,7.3,195360,37.4,58
362,Unfriended,2014,83,5.6,50402,31.54,59
361,American Reunion,2012,113,6.7,178471,56.72,49
360,The Pursuit of Happyness,2006,117,8,361105,162.59,64
359,Relatos salvajes,2014,122,8.1,110100,3.08,77
358,The Ridiculous 6,2015,119,4.8,31149,,18
357,Frantz,2016,113,7.5,4304,0.86,73
356,Viral,2016,85,5.5,3564,,72
355,Gran Torino,2008,116,8.2,595779,148.09,
354,Burnt,2015,101,6.6,76469,13.65,42
353,Tall Men,2016,133,3.2,173,,57
352,Sleeping Beauty,2011,101,5.3,27006,0.03,
351,Vampire Academy,2014,104,5.6,44111,7.79,30
350,Sweeney Todd: The Demon Barber of Fleet Street,2007,116,7.4,296289,52.88,83
349,Solace,2015,101,6.4,36300,,36
348,Insidious,2010,103,6.8,219916,53.99,52
347,Popstar: Never Stop Never Stopping,2016,87,6.7,30875,9.39,68
346,The Levelling,2016,83,6.4,482,,82
345,Public Enemies,2009,140,7,240323,97.03,70
344,Boyhood,2014,165,7.9,286722,25.36,100
343,Teenage Mutant Ninja Turtles,2014,101,5.9,178527,190.87,31
342,Eastern Promises,2007,100,7.7,198006,17.11,82
341,The Daughter,2015,96,6.7,2798,0.03,62
340,Pineapple Express,2008,111,7,267872,87.34,64
339,The First Time,2012,95,6.9,54027,0.02,55
338,Gone Baby Gone,2007,114,7.7,206707,20.3,72
337,The Heat,2013,117,6.6,140151,159.58,60
336,L'avenir,2016,102,7.1,5796,0.28,88
335,Anna Karenina,2012,129,6.6,75291,12.8,63
334,Regression,2015,106,5.7,26320,0.05,32
333,Ted 2,2015,115,6.3,136323,81.26,48
332,Pain & Gain,2013,129,6.5,168875,49.87,45
331,Blood Diamond,2006,143,8,422014,57.37,64
330,Devil's Knot,2013,114,6.1,15514,,42
329,Child 44,2015,137,6.5,47703,1.21,41
328,The Hurt Locker,2008,131,7.6,352023,15.7,94
327,Green Lantern,2011,114,5.6,231907,116.59,39
326,War on Everyone,2016,98,5.9,9285,,50
325,The Mist,2007,126,7.2,233346,25.59,58
324,Escape Plan,2013,115,6.7,188004,25.12,49
323,"Love, Rosie",2014,102,7.2,80415,0.01,44
322,The DUFF,2015,101,6.5,57874,34.02,56
321,The Age of Shadows,2016,140,7.2,2403,0.54,78
320,The Hunger Games: Mockingjay - Part 1,2014,123,6.7,331902,337.1,64
319,We Need to Talk About Kevin,2011,112,7.5,104953,1.74,68
318,Love & Friendship,2016,90,6.5,16164,14.01,87
317,The Mortal Instruments: City of Bones,2013,130,5.9,112313,31.17,33
316,Seven Pounds,2008,123,7.7,245144,69.95,36
315,The King's Speech,2010,118,8,534388,138.8,88
314,Hunger,2008,96,7.6,54486,0.15,82
313,Jumper,2008,88,6.1,252503,80.17,35
312,Toy Story 3,2010,103,8.3,586669,414.98,92
311,Tinker Tailor Soldier Spy,2011,122,7.1,157053,24.1,85
310,Resident Evil: Retribution,2012,96,5.4,114144,42.35,39
309,Dear Zindagi,2016,151,7.8,23540,1.4,56
308,Genius,2016,104,6.5,10708,1.36,
307,Pompeii,2014,105,5.5,90188,23.22,39
306,Life of Pi,2012,127,7.9,471109,124.98,79
305,Hachi: A Dog's Tale,2009,93,8.1,177602,,61
304,10 Years,2011,100,6.1,19636,0.2,
303,I Origins,2014,106,7.3,86271,0.33,57
302,Live Free or Die Hard,2007,128,7.2,347567,134.52,69
301,The Matchbreaker,2016,94,5.5,1427,,44
300,Funny Games,2007,111,6.5,73835,1.29,
299,Ted,2012,106,7,494641,218.63,62
298,RED,2010,111,7.1,250012,90.36,60
297,Australia,2008,165,6.6,106115,49.55,53
296,Faster,2010,98,6.5,83788,23.23,44
295,The Neighbor,2016,87,5.8,4754,,60
294,The Adjustment Bureau,2011,106,7.1,208632,62.45,
293,The Hollars,2016,88,6.5,5908,1.02,53
292,The Judge,2014,141,7.4,146812,47.11,48
291,Closed Circuit,2013,96,6.2,18437,5.73,50
290,Transformers: Revenge of the Fallen,2009,150,6,335757,402.08,35
289,La tortue rouge,2016,80,7.6,11482,0.92,86
288,The Book of Life,2014,95,7.3,50388,50.15,67
287,Incendies,2010,131,8.2,92863,6.86,80
286,The Heartbreak Kid,2007,116,5.8,74664,36.77,46
285,Happy Feet,2006,108,6.5,141141,197.99,77
284,Entourage,2015,104,6.6,64557,32.36,38
283,The Strangers,2008,86,6.2,96718,52.53,47
282,Noah,2014,138,5.8,209700,101.16,68
281,Neighbors,2014,97,6.4,236500,150.06,68
280,Nymphomaniac: Vol. II,2013,123,6.7,65824,0.33,60
279,Wild,2014,115,7.1,95553,37.88,76
278,Grown Ups,2010,102,6,190385,162,30
277,Blair Witch,2016,89,5.1,26088,20.75,47
276,The Karate Kid,2010,140,6.2,127983,176.59,61
275,Dark Shadows,2012,113,6.2,209326,79.71,55
274,Friends with Benefits,2011,109,6.6,286543,55.8,63
273,The Illusionist,2006,110,7.6,309934,39.83,68
272,The A-Team,2010,117,6.8,219116,77.21,47
271,The Guest,2014,100,6.7,71069,0.32,76
270,The Internship,2013,119,6.3,166342,44.67,42
269,Paul,2011,104,7,201707,37.37,57
268,This Beautiful Fantastic,2016,100,6.9,688,,51
267,The Da Vinci Code,2006,149,6.6,338280,217.54,46
266,Mr. Church,2016,104,7.7,16163,0.69,37
265,Hugo,2011,126,7.5,259182,73.82,83
264,The Blackcoat's Daughter,2015,93,5.6,4155,0.02,68
263,Body of Lies,2008,128,7.1,182305,39.38,57
262,Knight of Cups,2015,118,5.7,17439,0.56,53
261,The Mummy: Tomb of the Dragon Emperor,2008,112,5.2,124554,102.18,31
260,The Boss,2016,99,5.4,29642,63.03,40
259,Hands of Stone,2016,111,6.6,8998,4.71,54
258,El secreto de sus ojos,2009,129,8.2,144524,20.17,80
257,True Grit,2010,110,7.6,254904,171.03,80
256,We Are Your Friends,2015,96,6.2,25903,3.59,46
255,A Million Ways to Die in the West,2014,116,6.1,144779,42.62,44
254,Only for One Night,2016,86,4.6,313,,60
253,Rules Don't Apply,2016,127,5.7,3731,3.65,
252,Ouija: Origin of Evil,2016,99,6.1,30035,34.9,65
251,Percy Jackson: Sea of Monsters,2013,106,5.9,91684,68.56,39
250,Fracture,2007,113,7.2,148943,39,68
249,Oculus,2013,104,6.5,92875,27.69,61
248,In Bruges,2008,107,7.9,322536,7.76,67
247,This Means War,2012,103,6.3,154400,54.76,31
246,Lída Baarová,2016,106,5,353,,64
245,The Road,2009,111,7.3,187302,0.06,
244,Lavender,2016,92,5.2,2083,,46
243,Deuces,2016,87,6.6,256,,36
242,Conan the Barbarian,2011,113,5.2,84893,21.27,
241,The Fighter,2010,116,7.8,290056,93.57,79
240,August Rush,2007,114,7.5,91229,31.66,38
239,Chef,2014,114,7.3,151970,31.24,68
238,Eye in the Sky,2015,102,7.3,57826,18.7,73
237,Eagle Eye,2008,118,6.6,156158,101.11,43
236,The Purge,2013,85,5.7,154588,64.42,41
235,PK,2014,153,8.2,103279,10.57,51
234,Ender's Game,2013,114,6.7,194236,61.66,
233,Indiana Jones and the Kingdom of the Crystal Skull,2008,122,6.2,351361,317.01,65
232,Paper Towns,2015,109,6.3,72515,31.99,56
231,High-Rise,2015,119,5.7,25928,0.34,65
230,Quantum of Solace,2008,106,6.6,347798,168.37,58
229,The Assignment,2016,95,4.5,2043,,34
228,How to Train Your Dragon,2010,98,8.1,523893,217.39,74
227,Lady in the Water,2006,110,5.6,82701,42.27,36
226,The Fountain,2006,96,7.3,199193,10.14,51
225,Cars 2,2011,106,6.2,110490,191.45,57
224,31,2016,102,5.1,10871,0.78,35
223,Final Girl,2015,90,4.7,9026,,56
222,Chalk It Up,2016,90,4.8,499,,
221,The Man Who Knew Infinity,2015,108,7.2,29912,3.86,
220,Unknown,2011,113,6.9,218679,61.09,56
219,Self/less,2015,117,6.5,67196,12.28,34
218,Mr. Brooks,2007,120,7.3,128146,28.48,45
217,Tramps,2016,82,6.5,1031,,77
216,Before We Go,2014,95,6.9,31370,0.04,31
215,Captain Phillips,2013,134,7.8,346154,107.1,83
214,The Secret Scripture,2016,108,6.8,378,,37
213,Max Steel,2016,92,4.6,11555,3.77,22
212,Hotel Transylvania 2,2015,89,6.7,69157,169.69,44
211,Hancock,2008,92,6.4,366138,227.95,49
210,Sisters,2015,118,6,50241,87.03,58
209,The Family,2013,111,6.3,92868,36.92,42
208,Zack and Miri Make a Porno,2008,101,6.6,154936,31.45,56
207,Ma vie de Courgette,2016,66,7.8,4370,0.29,85
206,Man on a Ledge,2012,102,6.6,129252,18.6,40
205,No Strings Attached,2011,108,6.2,178243,70.63,50
204,Rescue Dawn,2006,120,7.3,87887,5.48,77
203,Despicable Me 2,2013,98,7.4,304837,368.05,62
202,A Walk Among the Tombstones,2014,114,6.5,93883,25.98,57
201,The World's End,2013,109,7,199813,26,81
200,Yoga Hosers,2016,88,4.3,7091,,23
199,Seven Psychopaths,2012,110,7.2,196652,14.99,66
198,Beowulf,2007,115,6.2,146566,82.16,59
197,Jack Ryan: Shadow Recruit,2014,105,6.2,103681,50.55,57
196,1408,2007,104,6.8,221073,71.98,64
195,The Gambler,2014,111,6,52537,33.63,55
194,Prince of Persia: The Sands of Time,2010,116,6.6,233148,90.76,50
193,The Spectacular Now,2013,95,7.1,115751,6.85,82
192,A United Kingdom,2016,111,6.8,4771,3.9,65
191,USS Indianapolis: Men of Courage,2016,128,5.2,4964,,30
190,Turbo Kid,2015,93,6.7,19309,0.05,60
189,Mama,2013,100,6.2,142560,71.59,57
188,Orphan,2009,123,7,153448,41.57,42
187,To Rome with Love,2012,112,6.3,72050,16.68,54
186,Fantastic Mr. Fox,2009,87,7.8,149779,21,83
185,Inside Man,2006,129,7.6,285441,88.5,76
184,I.T.,2016,95,5.4,8755,,27
183,127 Hours,2010,94,7.6,294010,18.33,82
182,Annabelle,2014,99,5.4,91106,84.26,37
181,Wolves at the Door,2016,73,4.6,564,,63
180,Suite Française,2014,107,6.9,13711,,
179,The Imaginarium of Doctor Parnassus,2009,123,6.8,130153,7.69,65
178,G.I. Joe: The Rise of Cobra,2009,118,5.8,180105,150.17,32
177,Christine,2016,119,7,5855,0.3,72
176,Man Down,2015,90,5.8,4779,,27
175,Crawlspace,2016,88,5.3,1427,,25
174,Shut In,2016,91,4.6,5715,6.88,
173,The Warriors Gate,2016,108,5.3,1391,,77
172,Grindhouse,2007,191,7.6,160350,25.03,
171,Disaster Movie,2008,87,1.9,77207,14.17,15
170,Rocky Balboa,2006,102,7.2,171356,70.27,63
169,Diary of a Wimpy Kid: Dog Days,2012,94,6.4,16917,49,54
168,Jane Eyre,2011,120,7.4,67464,11.23,76
167,Fool's Gold,2008,112,5.7,62719,70.22,29
166,The Dictator,2012,83,6.4,225394,59.62,58
165,The Loft,2014,108,6.3,38804,5.98,24
164,Bacalaureat,2016,128,7.5,5531,0.13,84
163,You Don't Mess with the Zohan,2008,113,5.5,163144,100.02,54
162,Exposed,2016,102,4.2,8409,,23
161,Maudie,2016,115,7.8,346,,60
160,Horrible Bosses 2,2014,108,6.3,125190,54.41,40
159,A Bigger Splash,2015,125,6.4,15232,1.98,74
158,Melancholia,2011,135,7.1,137117,3.03,80
157,The Princess and the Frog,2009,97,7.1,95480,104.37,73
156,Unstoppable,2010,98,6.8,157499,81.56,69
155,Flight,2012,138,7.3,276347,93.75,76
154,Home,2015,94,6.7,77447,177.34,55
153,La migliore offerta,2013,131,7.8,77986,0.09,49
152,Mean Dreams,2016,108,6.3,1066,,64
151,42,2013,128,7.5,69659,95,62
150,21,2008,123,6.8,198395,81.16,48
149,Begin Again,2013,104,7.4,111875,16.17,62
148,Out of the Furnace,2013,116,6.8,88829,11.33,63
147,Vicky Cristina Barcelona,2008,96,7.1,208770,23.21,70
146,Kung Fu Panda,2008,92,7.6,329788,215.4,73
145,Barbershop: The Next Cut,2016,111,5.9,9993,54.01,67
144,Terminator Salvation,2009,115,6.6,297093,125.32,49
143,Freedom Writers,2007,123,7.5,55648,36.58,64
142,The Hills Have Eyes,2006,107,6.4,136642,41.78,52
141,Changeling,2008,141,7.8,206793,35.71,63
140,Remember Me,2010,113,7.2,119376,19.06,40
139,Koe no katachi,2016,129,8.4,2421,,80
138,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,81,6.2,32310,66.95,54
137,Locke,2013,85,7.1,100890,1.36,81
136,The 9th Life of Louis Drax,2016,108,6.3,6175,,41
135,Horns,2013,120,6.5,61060,0.16,46
134,Indignation,2016,110,6.9,7402,3.4,78
133,The Stanford Prison Experiment,2015,122,6.9,20907,0.64,67
132,Diary of a Wimpy Kid: Rodrick Rules,2011,99,6.6,20194,52.69,51
131,Mission: Impossible III,2006,126,6.9,270429,133.38,66
130,En man som heter Ove,2015,116,7.7,21569,3.36,70
129,Dragonball Evolution,2009,85,2.7,59512,9.35,45
128,Red Dawn,2012,93,5.4,64584,44.8,31
127,One Day,2011,107,7,113599,13.77,48
126,Life as We Know It,2010,114,6.6,101301,53.36,39
125,28 Weeks Later,2007,100,7,221858,28.64,78
124,Warm Bodies,2013,98,6.9,193579,66.36,59
123,Blue Jasmine,2013,98,7.3,160592,33.4,78
122,G.I. Joe: Retaliation,2013,110,5.8,152145,122.51,41
121,Wrath of the Titans,2012,99,5.8,159230,83.64,37
120,Shin Gojira,2016,120,6.9,8365,1.91,68
119,Saving Mr. Banks,2013,125,7.5,125693,83.3,65
118,Transcendence,2014,119,6.3,184564,23.01,42
117,Rio,2011,96,6.9,173919,143.62,63
116,Equals,2015,101,6.1,16361,0.03,43
115,Babel,2006,143,7.5,253417,34.3,69
114,The Tree of Life,2011,139,6.8,143517,13.3,85
113,The Lucky One,2012,101,6.5,82874,60.44,39
112,Piranha 3D,2010,88,5.5,75262,25,53
111,50/50,2011,100,7.7,281625,34.96,72
110,The Intent,2016,104,3.5,202,,59
109,This Is 40,2012,134,6.2,108156,67.52,
108,Real Steel,2011,127,7.1,264480,85.46,56
107,Sex and the City,2008,145,5.5,102547,152.64,53
106,Rambo,2008,92,7.1,187077,42.72,46
105,Planet Terror,2007,105,7.1,174553,,55
104,Concussion,2015,123,7.1,61274,34.53,
103,The Fall,2006,117,7.9,93036,2.28,64
102,The Ugly Truth,2009,96,6.5,172558,88.92,28
101,Bride Wars,2009,89,5.5,83976,58.72,24
100,Sleeping with Other People,2015,101,6.5,27730,0.81,64
99,Snakes on a Plane,2006,105,5.6,118905,34.01,58
98,What If,2013,98,6.8,55243,3.45,59
97,How to Train Your Dragon 2,2014,102,7.9,237565,177,76
96,RoboCop,2014,117,6.2,190833,58.61,52
95,In Dubious Battle,2016,110,6.2,1455,,43
94,"Hello, My Name Is Doris",2015,95,6.7,12361,14.44,63
93,Ocean's Thirteen,2007,122,6.9,269581,117.14,62
92,Slither,2006,95,6.5,64351,7.77,69
91,Contagion,2011,106,6.6,187004,75.64,70
90,Il racconto dei racconti - Tale of Tales,2015,133,6.4,17565,0.08,72
89,I Am the Pretty Thing That Lives in the House,2016,87,4.7,4204,,68
88,Bridge to Terabithia,2007,96,7.2,117297,82.23,74
87,Coherence,2013,89,7.2,66265,0.07,65
86,Notorious,2009,122,6.7,33007,36.84,60
85,Goksung,2016,156,7.5,17962,0.79,81
84,The Expendables 2,2012,103,6.6,257395,85.02,51
83,The Girl Next Door,2007,91,6.7,19351,,29
82,Perfume: The Story of a Murderer,2006,147,7.5,199387,2.21,56
81,The Golden Compass,2007,113,6.1,155078,70.08,51
80,Centurion,2010,97,6.4,67801,0.12,62
79,Scouts Guide to the Zombie Apocalypse,2015,93,6.3,31651,3.64,32
78,17 Again,2009,102,6.4,152808,64.15,48
77,No Escape,2015,103,6.8,57921,27.29,38
76,Superman Returns,2006,154,6.1,246797,200.07,72
75,The Twilight Saga: Breaking Dawn - Part 1,2011,117,4.9,190244,281.28,45
74,Precious,2009,110,7.3,91623,47.54,79
73,The Sea of Trees,2015,110,5.9,7475,0.02,23
72,Good Kids,2016,86,6.1,3843,,86
71,The Master,2012,144,7.1,112902,16.38,
70,Footloose,2011,113,5.9,39380,51.78,58
69,If I Stay,2014,107,6.8,92170,50.46,46
68,The Ticket,2016,97,5.4,924,,52
67,Detour,2016,97,6.3,2205,,46
66,The Love Witch,2016,120,6.2,4669,0.22,82
65,Talladega Nights: The Ballad of Ricky Bobby,2006,108,6.6,137502,148.21,66
64,The Human Centipede (First Sequence),2009,92,4.4,60655,0.18,33
63,Super,2010,96,6.8,64535,0.32,50
62,The Siege of Jadotville,2016,108,7.3,14689,,83
61,Up in the Air,2009,109,7.4,279694,83.81,
60,The Midnight Meat Train,2008,98,6.1,50255,0.07,58
59,The Twilight Saga: Eclipse,2010,124,4.9,192740,300.52,58
58,Transpecos,2016,86,5.8,1292,,73
57,What's Your Number?,2011,106,6.1,62095,13.99,35
56,Riddick,2013,119,6.4,132098,42,49
55,Triangle,2009,99,6.9,72533,,66
54,The Butler,2013,132,7.2,93322,116.63,
53,King Cobra,2016,91,5.6,3990,0.03,48
52,After Earth,2013,100,4.9,166512,60.52,33
51,Kicks,2016,80,6.1,2417,0.15,69
50,Me and Earl and the Dying Girl,2015,105,7.8,92076,6.74,74
49,The Descendants,2011,115,7.3,211348,82.62,84
48,Sex and the City 2,2010,146,4.3,62403,95.33,27
47,The Kings of Summer,2013,95,7.2,65653,1.29,61
46,Death Race,2008,105,6.4,173731,36.06,43
45,That Awkward Moment,2014,94,6.2,81823,26.05,36
44,Legion,2010,100,5.2,84158,40.17,32
43,End of Watch,2012,109,7.7,192190,40.98,68
42,3 Days to Kill,2014,117,6.2,73567,30.69,40
41,Lucky Number Slevin,2006,110,7.8,271940,22.49,53
40,Trance,2013,101,7,97141,2.32,61
39,Into the Forest,2015,101,5.9,10220,0.01,59
38,The Other Boleyn Girl,2008,115,6.7,88260,26.81,50
37,I Spit on Your Grave,2010,108,6.3,60133,0.09,27
36,Custody,2016,104,6.9,280,,72
35,Inland Empire,2006,180,7,44227,,
34,L'odyssée,2016,122,6.7,1810,,70
33,The Walk,2015,123,7.3,92378,10.14,
32,Wrecker,2015,83,3.5,1210,,37
31,The Lone Ranger,2013,150,6.5,190855,89.29,
30,Texas Chainsaw 3D,2013,92,4.8,37060,34.33,62
29,Disturbia,2007,105,6.9,193491,80.05,
28,Rock of Ages,2012,123,5.9,64513,38.51,47
27,Scream 4,2011,111,6.2,108544,38.18,52
26,Queen of Katwe,2016,124,7.4,6753,8.81,73
25,My Big Fat Greek Wedding 2,2016,94,6,20966,59.57,37
24,Dark Places,2015,113,6.2,31634,,39
23,Amateur Night,2016,92,5,2229,,38
22,It's Only the End of the World,2016,97,7,10658,,48
21,The Skin I Live In,2011,120,7.6,108772,3.19,70
20,Miracles from Heaven,2016,109,7,12048,61.69,44
19,Annie,2014,118,5.3,27312,85.91,33
18,Across the Universe,2007,133,7.4,95172,24.34,56
17,Let's Be Cops,2014,104,6.5,112729,82.39,30
16,Max,2015,111,6.8,21405,42.65,47
15,Your Highness,2011,102,5.6,87904,21.56,31
14,Final Destination 5,2011,92,5.9,88000,42.58,50
13,Endless Love,2014,104,6.3,33688,23.39,30
12,Martyrs,2008,99,7.1,63785,,89
11,Selma,2014,128,7.5,67637,52.07,
10,Underworld: Rise of the Lycans,2009,92,6.6,129708,45.8,44
9,Taare Zameen Par,2007,165,8.5,102697,1.2,42
8,Take Me Home Tonight,2011,97,6.3,45419,6.92,
7,Resident Evil: Afterlife,2010,97,5.9,140900,60.13,37
6,Project X,2012,88,6.7,164088,54.72,48
5,Secret in Their Eyes,2015,111,6.2,27585,,45
4,Hostel: Part II,2007,94,5.5,73152,17.54,46
3,Step Up 2: The Streets,2008,98,6.2,70699,58.01,50
2,Search Party,2014,93,5.6,4881,,22
1,Nine Lives,2016,87,5.3,12435,19.64,11
